コード,カテゴリ,緯度,経度,方位,設置階,説明
521,establishment,36.56156076 ,136.65921304 ,7,1,広坂交差点
522,establishment,36.56150658 ,136.65925340 ,0,1,広坂交差点
524,road,36.56059855 ,136.65916004 ,3,1,21美入り口東
528,road,36.56057323 ,136.65915937 ,3,1,21美前バス停
529,road,36.56018078 ,136.65918351 ,3,1,21美遊歩道入り口東
530,road,36.55944842 ,136.65915315 ,0,1,歌劇座交差点
532,road,36.55944465 ,136.65909280 ,0,1,歌劇座交差点
536,establishment,36.55946401 ,136.65832977 ,1,1,交流サロン前
544,establishment,36.55946939 ,136.65827143 ,1,1,交流サロン前
545,road,36.55947262 ,136.65823991 ,1,1,偉人館周辺
546,road,36.55938214 ,136.65823052 ,1,1,偉人館周辺
548,road,36.55939399 ,136.65808434 ,0,1,偉人館周辺
560,road,36.55963665 ,136.65727096 ,2,1,偉人館周辺
576,road,36.56024500 ,136.65689430 ,9,1,柿の木畠入口
577,road,36.56030490 ,136.65654990 ,1,1,柿の木畠
578,road,36.56051114 ,136.65693221 ,10,1,市役所21美横断歩道
580,road,36.56049606 ,136.65708577 ,10,1,市役所21美横断歩道
584,road,36.56130519 ,136.65721156 ,10,1,21美市役所側入り口
592,road,36.56136552 ,136.65722094 ,9,1,市役所21美横断歩道
608,road,36.56056995 ,136.65694151 ,10,1,側道
640,road,36.56063903 ,136.65695133 ,10,1,側道
641,road,36.56085418 ,136.65698352 ,10,1,市役所前バス停
642,establishment,36.56114821 ,136.65702614 ,9,1,金沢市役所入口
644,road,36.56139004 ,136.65704089 ,10,1,市役所21美横断歩道
